Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Amazonki,206915,3,10,15,2018,standalone,Lucrum Games,Polish,8,80,0.0
Ankh: Bogowie Egiptu,285967,2,5,90,2022,standalone,Portal Games,Polish,50,500,0.0
Apacze i Komancze,21287,2,4,90,2014,standalone,Egmont Polska,Polish,10,100,0.0
Aquatica,283393,1,4,60,2021,standalone,Portal Games; Cosmodrome Games,Polish,15,150,0.0
Aquatica: Mroźne Wody,300872,1,5,60,2021,expansion,Portal Games; Cosmodrome Games,Polish,10,100,0.0
Arboretum,140934,2,4,30,2019,standalone,Rebel Sp. z o.o.; Renegade Game Studios,Polish,8,80,0.0
Architekci Zachodniego Królestwa,236457,1,5,80,2019,standalone,Portal Games,Polish,15,150,0.0
Arkana Magii,309408,1,6,60,2022,standalone,Grey Fox Games; Portal Games,Polish,15,150,0.0
Atak Zombie,170344,2,4,60,2014,standalone,FoxGames,Polish,15,150,0.0
AuZtralia,231581,1,4,120,2018,standalone,PHALANX,Polish,25,250,0.0
Awanturnicy: Świątynia boga Chaca,43868,2,6,45,2010,standalone,Axel,Polish,15,150,0.0
Axis & Allies: Europe 1940,61692,2,6,360,2010,standalone,Avalon Hill,English,20,200,0.0
